id,timestamp,target,rtt,activity
9,2024-04-25 21:42:03.774538,google.com,104.992,youtube
10,2024-04-25 21:42:38.518868,google.com,87.854,youtube
11,2024-04-25 21:43:13.408089,google.com,67.431,youtube
12,2024-04-25 21:43:48.318858,google.com,106.01,youtube
13,2024-04-25 21:44:22.650219,google.com,37.849,youtube
14,2024-04-25 21:44:57.009429,google.com,41.422,youtube
15,2024-04-25 21:45:31.611058,google.com,87.248,youtube
16,2024-04-25 21:46:06.447082,google.com,139.32,youtube
17,2024-04-25 21:46:40.857452,google.com,114.986,youtube
18,2024-04-25 21:47:15.248510,google.com,37.442,youtube
19,2024-04-25 21:47:49.694095,google.com,53.135,youtube
20,2024-04-25 21:48:24.804836,google.com,41.88,youtube
21,2024-04-25 21:49:00.210842,google.com,153.707,youtube
22,2024-04-25 21:49:35.836620,google.com,43.994,youtube
23,2024-04-25 21:50:10.300857,google.com,78.493,youtube
24,2024-04-25 21:50:44.864306,google.com,88.721,youtube
25,2024-04-25 21:51:19.873544,google.com,106.459,youtube
26,2024-04-25 21:51:54.234306,google.com,62.989,youtube
27,2024-04-25 21:52:29.104673,google.com,115.178,youtube
28,2024-04-25 21:53:03.904767,google.com,40.74,youtube
29,2024-04-25 21:53:35.841800,google.com,47.017,youtube
30,2024-04-25 21:54:00.359740,google.com,222.459,youtube
31,2024-04-25 21:54:24.696633,google.com,33.86,youtube
32,2024-04-25 21:54:49.742073,google.com,157.453,youtube
33,2024-04-25 21:55:14.538907,google.com,93.537,youtube
34,2024-04-25 21:55:39.055246,google.com,43.718,youtube
35,2024-04-25 21:56:03.629382,google.com,139.27,youtube
36,2024-04-25 21:56:28.153859,google.com,108.572,youtube
37,2024-04-25 21:56:52.511765,google.com,33.459,youtube
38,2024-04-25 21:57:17.056860,google.com,61.271,youtube
39,2024-04-25 21:57:41.596527,google.com,153.864,youtube
40,2024-04-25 21:58:06.110778,google.com,154.316,youtube
41,2024-04-25 21:58:30.758623,google.com,60.062,youtube
42,2024-04-25 21:58:55.367355,google.com,71.46,youtube
43,2024-04-25 21:59:19.965676,google.com,55.521,youtube
44,2024-04-25 21:59:44.298512,google.com,36.035,youtube
45,2024-04-25 22:00:08.850892,google.com,234.273,youtube
46,2024-04-25 22:00:33.508889,google.com,203.469,youtube
47,2024-04-25 22:00:58.043330,google.com,168.494,youtube
48,2024-04-25 22:01:22.551562,google.com,153.016,youtube
49,2024-04-25 22:01:47.327687,google.com,40.583,youtube
50,2024-04-25 22:02:11.942171,google.com,49.332,youtube
51,2024-04-25 22:02:36.451528,google.com,145.166,youtube
52,2024-04-25 22:03:00.760673,google.com,34.568,youtube
53,2024-04-25 22:03:26.333848,google.com,176.51,youtube
54,2024-04-25 22:03:51.110958,google.com,67.595,youtube
55,2024-04-25 22:04:15.632403,google.com,151.168,youtube
56,2024-04-25 22:04:40.779215,google.com,115.906,youtube
57,2024-04-25 22:05:05.343835,google.com,36.506,youtube
58,2024-04-25 22:05:30.069426,google.com,73.305,youtube
59,2024-04-25 22:05:54.366138,google.com,79.505,youtube
60,2024-04-25 22:06:18.895518,google.com,33.251,youtube
61,2024-04-25 22:06:43.869149,google.com,59.866,youtube
62,2024-04-25 22:07:08.195280,google.com,39.479,youtube
63,2024-04-25 22:07:32.808949,google.com,176.618,youtube
64,2024-04-25 22:07:57.232459,google.com,113.871,youtube
65,2024-04-25 22:08:21.641165,google.com,78.928,youtube
66,2024-04-25 22:08:46.179330,google.com,154.318,youtube
67,2024-04-25 22:09:10.754705,google.com,143.742,youtube
68,2024-04-25 22:09:35.417445,google.com,73.493,youtube
69,2024-04-25 22:09:59.945647,google.com,117.202,youtube
70,2024-04-25 22:10:24.682622,google.com,72.79,youtube
71,2024-04-25 22:10:49.231627,google.com,153.081,youtube
72,2024-04-25 22:11:13.552212,google.com,44.336,youtube
73,2024-04-25 22:11:38.158932,google.com,57.684,youtube
74,2024-04-25 22:12:03.351755,google.com,178.976,youtube
75,2024-04-25 22:12:27.979656,google.com,64.12,youtube
76,2024-04-25 22:12:52.312000,google.com,114.313,youtube
77,2024-04-25 22:13:16.889241,google.com,46.204,youtube
78,2024-04-25 22:13:41.507322,google.com,113.382,youtube
79,2024-04-25 22:14:08.393110,google.com,97.023,youtube
80,2024-04-25 22:14:33.374171,google.com,123.762,youtube
81,2024-04-25 22:14:57.674105,google.com,40.534,youtube
82,2024-04-25 22:15:22.205331,google.com,179.849,youtube
83,2024-04-25 22:15:46.577419,google.com,76.285,youtube
84,2024-04-25 22:16:11.121314,google.com,143.893,youtube
85,2024-04-25 22:16:35.524120,google.com,53.458,youtube
86,2024-04-25 22:17:00.147676,google.com,140.512,youtube
87,2024-04-25 22:17:24.549686,google.com,45.846,youtube
88,2024-04-25 22:17:49.019583,google.com,46.111,youtube
89,2024-04-25 22:18:13.538536,google.com,148.941,youtube
90,2024-04-25 22:18:38.019728,google.com,140.143,youtube
91,2024-04-25 22:19:02.359070,google.com,59.358,youtube
92,2024-04-25 22:19:26.931017,google.com,50.949,youtube
93,2024-04-25 22:19:51.310694,google.com,59.036,youtube
94,2024-04-25 22:20:15.889412,google.com,133.577,youtube
95,2024-04-25 22:20:40.420014,google.com,80.302,youtube
96,2024-04-25 22:21:05.497181,google.com,165.017,youtube
97,2024-04-25 22:21:30.026939,google.com,116.323,youtube
98,2024-04-25 22:21:54.497833,google.com,134.576,youtube
99,2024-04-25 22:22:19.068673,google.com,142.556,youtube
100,2024-04-25 22:22:43.530828,google.com,80.048,youtube
101,2024-04-25 22:23:07.838569,google.com,37.365,youtube
102,2024-04-25 22:23:32.178355,google.com,86.367,youtube
103,2024-04-25 22:23:56.624030,google.com,154.777,youtube
104,2024-04-25 22:24:21.334825,google.com,122.094,youtube
105,2024-04-25 22:24:45.635665,google.com,40.985,youtube
106,2024-04-25 22:25:10.265284,google.com,143.586,youtube
107,2024-04-25 22:25:34.755049,google.com,83.395,youtube
108,2024-04-25 22:25:59.946075,google.com,65.585,youtube
109,2024-04-25 22:26:24.255109,google.com,52.433,youtube
110,2024-04-25 22:26:48.832084,google.com,45.982,youtube
111,2024-04-25 22:27:13.391000,google.com,226.331,youtube
112,2024-04-25 22:27:38.001826,google.com,136.354,youtube
113,2024-04-25 22:28:02.613267,google.com,79.505,youtube
114,2024-04-25 22:28:26.927654,google.com,38.494,youtube
115,2024-04-25 22:28:51.700871,google.com,206.354,youtube
116,2024-04-25 22:29:16.296435,google.com,67.387,youtube
